Erstellungsdatum; Performance seit beginn; Durchschnittliche Performance pro Jahr; Maximaler Drawdown; Erstemission; Performancegebühr; ISIN; Investiertes Kapital
30.09.2017;548,50%;39,90%;-65,30%;11.12.2017;10%;DE000LS9MLG4;68.641,87
30.09.2017;16,60%;2,80%;-34,60%;19.01.2018;18%;DE000LS9MR18;118.938,11
02.10.2017;-15,20%;-3,00%;-26,20%;31.01.2019;25%;DE000LS9NGQ1;276.990,31
03.10.2017;89,80%;12,10%;-47,10%;19.01.2018;10%;DE000LS9MQ43;258.024,06
14.11.2017;-6,30%;-1,50%;-81,20%;19.01.2018;5%;DE000LS9MPW2;71.565,99
16.11.2017;47,80%;7,60%;-87,40%;12.03.2018;20%;DE000LS9MTR4;1.230.337,93
16.11.2017;0,70%;-0,30%;-34,20%;17.04.2018;15%;DE000LS9MX77;14.090,18
28.11.2017;-0,30%;-0,10%;-52,50%;12.03.2018;10%;DE000LS9MTB8;36.791,12
02.12.2017;148,60%;18,50%;-66,70%;25.11.2021;5%;DE000LS9SPJ6;5.719,68
05.12.2017;285,10%;28,70%;-77,10%;17.04.2018;10%;DE000LS9MWD8;498.980,47
07.12.2017;-36,30%;-8,20%;-69,90%;20.09.2019;20%;DE000LS9NXU8;30.495,94
08.12.2017;31,20%;5,00%;-31,20%;17.04.2018;0%;DE000LS9MVB4;9.182,19
13.12.2017;40,70%;6,60%;-33,20%;17.04.2018;0%;DE000LS9MU96;26.313,21
22.12.2017;-15,90%;-4,90%;-79,00%;17.04.2018;18%;DE000LS9MWA4;52.926,14
22.12.2017;-39,40%;-10,80%;-82,00%;17.04.2018;18%;DE000LS9MVZ3;51.528,36
29.12.2017;48,50%;7,70%;-38,00%;17.04.2018;6%;DE000LS9MY68;162.710,36
04.01.2018;-1,00%;-0,60%;-47,90%;09.11.2018;15%;DE000LS9NAY8;25.333,29
16.01.2018;17,00%;2,90%;-22,10%;17.04.2018;15%;DE000LS9MXG9;874.457,99
07.02.2018;31,50%;5,50%;-37,70%;03.07.2018;11%;DE000LS9M4W6;22.110,47
10.02.2018;25,10%;4,50%;-16,80%;19.06.2018;5%;DE000LS9M3D8;9.515,06
15.02.2018;35,60%;6,00%;-45,30%;13.09.2018;5%;DE000LS9M9R5;44.101,75
19.02.2018;51,40%;8,40%;-29,60%;04.05.2018;5%;DE000LS9M085;7.572,95
24.02.2018;78,90%;12,00%;-37,60%;07.05.2020;10%;DE000LS9PWQ3;13.782,52
25.02.2018;-38,50%;-9,10%;-42,30%;04.05.2018;12%;DE000LS9M0H5;180.418,63
02.03.2018;12,20%;2,10%;-53,80%;13.09.2018;10%;DE000LS9M8Z0;30.073,15
05.03.2018;56,10%;9,00%;-31,90%;19.06.2018;8%;DE000LS9M200;9.519,66
27.03.2018;263,40%;29,30%;-83,70%;19.06.2018;5%;DE000LS9M2X8;40.001,09
29.04.2018;-32,90%;-7,80%;-37,70%;03.07.2018;8%;DE000LS9M4E4;99.679,69
16.05.2018;250,00%;29,30%;-21,90%;31.01.2019;10%;DE000LS9NF29;4.190.977,95
19.05.2018;16,10%;3,00%;-54,30%;28.08.2018;5%;DE000LS9M606;101.970,72
05.06.2018;13,80%;2,60%;-55,10%;12.12.2018;20%;DE000LS9ND39;77.229,63
22.06.2018;79,60%;13,00%;-50,60%;12.12.2018;10%;DE000LS9NED4;68.070,99
03.07.2018;27,10%;5,40%;-29,10%;13.09.2018;10%;DE000LS9M9M6;82.938,80
06.07.2018;107,00%;16,60%;-58,40%;12.12.2018;10%;DE000LS9NCK3;12.161.126,21
16.07.2018;43,50%;8,20%;-80,90%;08.09.2020;10%;DE000LS9QJG9;8.737,59
21.07.2018;13,80%;2,70%;-55,20%;12.12.2018;15%;DE000LS9NDA2;1.003.434,79
23.08.2018;36,70%;7,00%;-42,20%;26.02.2020;0%;DE000LS9PMK7;6.832,65
27.08.2018;-54,70%;-16,20%;-62,40%;05.03.2019;10%;DE000LS9NHC9;46.860,00
27.08.2018;19,50%;4,00%;-48,00%;13.05.2019;10%;DE000LS9NPG3;33.910,11
29.08.2018;394,50%;41,40%;-31,00%;12.07.2022;10%;DE000LS9TPZ0;565.776,17
31.08.2018;-9,30%;-2,20%;-42,40%;12.12.2018;25%;DE000LS9ND13;406.414,74
06.09.2018;26,70%;5,30%;-33,90%;05.03.2019;5%;DE000LS9NHL0;505.225,32
06.09.2018;4,60%;1,10%;-35,50%;12.12.2018;5%;DE000LS9NEP8;52.835,42
11.09.2018;246,10%;31,30%;-43,60%;12.12.2018;5%;DE000LS9NE38;13.653.693,00
11.09.2018;-13,30%;-3,20%;-49,50%;03.04.2019;10%;DE000LS9NJ09;5.466,32
12.09.2018;134,00%;20,20%;-50,20%;02.05.2019;8%;DE000LS9NMQ9;1.915.577,23
15.09.2018;120,70%;19,00%;-38,90%;03.04.2019;5%;DE000LS9NKC3;79.684,13
05.10.2018;111,60%;18,10%;-27,30%;20.09.2019;10%;DE000LS9NXJ1;40.450,77
18.10.2018;41,00%;7,60%;-31,50%;12.12.2018;5%;DE000LS9NC22;13.253,12
19.10.2018;6,90%;1,50%;-19,90%;12.07.2022;0%;DE000LS9TKT4;80.208,40
23.10.2018;30,80%;6,20%;-34,30%;05.03.2019;5%;DE000LS9NH35;263.878,56
25.10.2018;-10,80%;-2,50%;-57,50%;12.11.2019;5%;DE000LS9PED9;19.474,99
16.11.2018;16,00%;3,40%;-31,80%;07.05.2020;11%;DE000LS9PWE9;12.762,74
16.11.2018;36,90%;7,00%;-40,90%;27.01.2020;10%;DE000LS9PME0;84.888,76
03.12.2018;115,00%;19,20%;-43,20%;14.07.2020;0%;DE000LS9QBX1;1.718.780,16
09.12.2018;96,40%;16,80%;-38,00%;09.03.2021;5%;DE000LS9RFB6;84.461,03
14.12.2018;23,20%;5,00%;-23,50%;05.03.2019;5%;DE000LS9NH01;23.966,70
20.12.2018;38,00%;7,90%;-50,10%;03.04.2019;15%;DE000LS9NKV3;137.094,43
20.12.2018;28,30%;5,60%;-74,30%;20.09.2019;19%;DE000LS9PBC7;2.556.578,31
31.12.2018;94,40%;16,50%;-65,70%;24.07.2019;5%;DE000LS9NWK1;74.628,15
01.01.2019;5,90%;1,10%;-38,40%;08.07.2019;18%;DE000LS9NUM1;17.570,82
01.01.2019;29,40%;6,20%;-43,60%;06.08.2020;10%;DE000LS9QCZ4;384.158,82
03.01.2019;-3,50%;-0,90%;-28,70%;03.04.2019;10%;DE000LS9NKU5;75.699,50
04.02.2019;-21,60%;-5,80%;-81,70%;05.12.2019;20%;DE000LS9PGB8;90.958,13
10.02.2019;40,40%;8,40%;-46,70%;12.11.2019;20%;DE000LS9PEB3;60.602,16
13.02.2019;-15,00%;-3,20%;-38,40%;06.07.2020;5%;DE000LS9QAL8;12.009,22
15.02.2019;12,80%;3,00%;-17,60%;26.02.2020;10%;DE000LS9PPW5;20.410,85
05.03.2019;7,60%;1,70%;-24,60%;13.05.2019;10%;DE000LS9NN78;103.807,89
15.03.2019;36,40%;7,80%;-44,40%;11.06.2019;5%;DE000LS9NSL7;103.638,96
26.03.2019;14,60%;3,20%;-44,60%;12.07.2022;10%;DE000LS9TLH7;9.864,99
28.03.2019;75,60%;14,90%;-38,30%;14.06.2022;10%;DE000LS9TJG3;10.012,22
30.03.2019;757,30%;70,70%;-72,90%;12.07.2022;10%;DE000LS9TQR5;27.657,72
16.04.2019;48,90%;10,50%;-39,90%;26.11.2020;5%;DE000LS9QSH8;9.382,59
